version	cc	vec	tcm	turns	points	alpha	threads	time(ms)	std(%)
v0	g++	novec	notcm	1000	500000	1	1	3523.8	0.1
v0	g++	novec	notcm	1000	1000000	1	2	3554.0	0.1
v0	g++	novec	notcm	1000	2000000	1	4	3557.4	0.1
v0	g++	novec	notcm	1000	4000000	1	8	3570.0	0.2
v0	g++	novec	notcm	1000	7000000	1	14	3942.2	1.9
v0	g++	novec	notcm	1000	14000000	1	28	6424.0	6.7
v0	g++	novec	notcm	1000	28000000	1	56	10818.4	2.7
v0	g++	vec	notcm	1000	500000	0	1	472.7	1.7
v0	g++	vec	notcm	1000	500000	1	1	1772.0	0.3
v0	g++	vec	notcm	1000	1000000	0	2	494.7	1.8
v0	g++	vec	notcm	1000	1000000	1	2	1796.4	0.2
v0	g++	vec	notcm	1000	2000000	0	4	510.3	0.3
v0	g++	vec	notcm	1000	2000000	1	4	1802.0	0.1
v0	g++	vec	notcm	1000	4000000	0	8	579.3	4.0
v0	g++	vec	notcm	1000	4000000	1	8	1807.4	0.2
v0	g++	vec	notcm	1000	7000000	0	14	2785.7	7.5
v0	g++	vec	notcm	1000	7000000	1	14	3016.0	6.4
v0	g++	vec	notcm	1000	14000000	0	28	5950.3	3.7
v0	g++	vec	notcm	1000	14000000	1	28	6046.0	6.2
v0	g++	vec	notcm	1000	28000000	0	56	10519.3	5.1
v0	g++	vec	notcm	1000	28000000	1	56	10834.8	11.7
v0	icc	novec	notcm	1000	500000	1	1	3574.4	0.2
v0	icc	novec	notcm	1000	1000000	1	2	3585.0	0.1
v0	icc	novec	notcm	1000	2000000	1	4	3590.0	0.0
v0	icc	novec	notcm	1000	4000000	1	8	3609.8	0.2
v0	icc	novec	notcm	1000	7000000	1	14	3945.8	0.3
v0	icc	novec	notcm	1000	14000000	1	28	5732.6	5.1
v0	icc	novec	notcm	1000	28000000	1	56	10105.6	4.0
v0	icc	vec	notcm	1000	500000	1	1	1789.0	0.1
v0	icc	vec	notcm	1000	1000000	1	2	1797.4	0.1
v0	icc	vec	notcm	1000	2000000	1	4	1798.6	0.2
v0	icc	vec	notcm	1000	4000000	1	8	1805.6	0.2
v0	icc	vec	notcm	1000	7000000	1	14	2926.6	10.6
v0	icc	vec	notcm	1000	14000000	1	28	5364.8	3.2
v0	icc	vec	notcm	1000	28000000	1	56	9340.0	5.3
v4	nvcc	na	na	1000	500000	0	512X64	93.3	0.5
v4	nvcc	na	na	1000	500000	1	512X64	102.7	0.5
v4	nvcc	na	na	1000	1000000	0	512X64	170.0	0.0
v4	nvcc	na	na	1000	1000000	1	512X64	196.0	0.4
v4	nvcc	na	na	1000	2000000	0	512X64	324.0	0.0
v4	nvcc	na	na	1000	2000000	1	512X64	366.7	0.3
v4	nvcc	na	na	1000	4000000	0	512X64	633.0	0.1
v4	nvcc	na	na	1000	4000000	1	512X64	723.0	0.1
v4	nvcc	na	na	1000	7000000	0	512X64	1100.0	0.2
v4	nvcc	na	na	1000	7000000	1	512X64	1257.3	0.1
v4	nvcc	na	na	1000	14000000	0	512X64	2218.0	0.0
v4	nvcc	na	na	1000	14000000	1	512X64	2498.0	0.0
v4	nvcc	na	na	1000	28000000	0	512X64	4423.0	0.0
v4	nvcc	na	na	1000	28000000	1	512X64	5032.3	0.0
v1	g++	novec	notcm	1000	500000	1	1	3552.6	0.1
v1	g++	novec	notcm	1000	1000000	1	2	3581.2	0.0
v1	g++	novec	notcm	1000	2000000	1	4	3585.8	0.1
v1	g++	novec	notcm	1000	4000000	1	8	3595.2	0.0
v1	g++	novec	notcm	1000	7000000	1	14	3860.0	0.2
v1	g++	novec	notcm	1000	14000000	1	28	5952.8	9.1
v1	g++	novec	notcm	1000	28000000	1	56	10282.6	6.2
v1	g++	vec	notcm	1000	500000	0	1	480.3	1.9
v1	g++	vec	notcm	1000	500000	1	1	1766.2	0.2
v1	g++	vec	notcm	1000	1000000	0	2	497.3	0.6
v1	g++	vec	notcm	1000	1000000	1	2	1784.0	0.4
v1	g++	vec	notcm	1000	2000000	0	4	504.7	0.4
v1	g++	vec	notcm	1000	2000000	1	4	1797.2	0.0
v1	g++	vec	notcm	1000	4000000	0	8	559.7	0.6
v1	g++	vec	notcm	1000	4000000	1	8	1802.2	0.1
v1	g++	vec	notcm	1000	7000000	0	14	2870.7	3.5
v1	g++	vec	notcm	1000	7000000	1	14	3045.6	7.1
v1	g++	vec	notcm	1000	14000000	0	28	5732.3	9.7
v1	g++	vec	notcm	1000	14000000	1	28	6166.4	4.4
v1	g++	vec	notcm	1000	28000000	0	56	9740.7	3.2
v1	g++	vec	notcm	1000	28000000	1	56	12769.6	7.4
v1	icc	novec	notcm	1000	500000	1	1	3548.2	0.1
v1	icc	novec	notcm	1000	1000000	1	2	3560.0	0.1
v1	icc	novec	notcm	1000	2000000	1	4	3562.0	0.1
v1	icc	novec	notcm	1000	4000000	1	8	3571.4	0.1
v1	icc	novec	notcm	1000	7000000	1	14	3844.4	0.6
v1	icc	novec	notcm	1000	14000000	1	28	6249.0	2.0
v1	icc	novec	notcm	1000	28000000	1	56	9660.8	1.5
v1	icc	vec	notcm	1000	500000	1	1	1788.2	0.1
v1	icc	vec	notcm	1000	1000000	1	2	1799.8	0.1
v1	icc	vec	notcm	1000	2000000	1	4	1801.0	0.1
v1	icc	vec	notcm	1000	4000000	1	8	1809.6	0.2
v1	icc	vec	notcm	1000	7000000	1	14	2729.2	9.4
v1	icc	vec	notcm	1000	14000000	1	28	5568.2	1.8
v1	icc	vec	notcm	1000	28000000	1	56	9927.4	8.7
v2	g++	novec	notcm	1000	500000	1	1	1797.4	0.4
v2	g++	novec	notcm	1000	1000000	1	2	1807.2	0.4
v2	g++	novec	notcm	1000	2000000	1	4	1834.0	0.2
v2	g++	novec	notcm	1000	4000000	1	8	1841.4	0.3
v2	g++	novec	notcm	1000	7000000	1	14	1857.2	0.3
v2	g++	novec	notcm	1000	14000000	1	28	3096.6	3.4
v2	g++	novec	notcm	1000	28000000	1	56	7354.0	15.7
v2	g++	vec	notcm	1000	500000	0	1	244.0	3.5
v2	g++	vec	notcm	1000	500000	1	1	303.6	5.5
v2	g++	vec	notcm	1000	1000000	0	2	252.7	3.2
v2	g++	vec	notcm	1000	1000000	1	2	323.2	3.2
v2	g++	vec	notcm	1000	2000000	0	4	263.7	0.5
v2	g++	vec	notcm	1000	2000000	1	4	354.8	0.8
v2	g++	vec	notcm	1000	4000000	0	8	253.7	1.0
v2	g++	vec	notcm	1000	4000000	1	8	357.2	2.5
v2	g++	vec	notcm	1000	7000000	0	14	273.0	4.4
v2	g++	vec	notcm	1000	7000000	1	14	382.6	3.4
v2	g++	vec	notcm	1000	14000000	0	28	3177.7	2.0
v2	g++	vec	notcm	1000	14000000	1	28	3183.4	4.8
v2	g++	vec	notcm	1000	28000000	0	56	7840.3	2.9
v2	g++	vec	notcm	1000	28000000	1	56	7310.0	10.4
v2	icc	novec	notcm	1000	500000	1	1	1812.8	0.6
v2	icc	novec	notcm	1000	1000000	1	2	1823.8	0.1
v2	icc	novec	notcm	1000	2000000	1	4	1831.2	0.3
v2	icc	novec	notcm	1000	4000000	1	8	1839.8	0.1
v2	icc	novec	notcm	1000	7000000	1	14	1857.6	0.6
v2	icc	novec	notcm	1000	14000000	1	28	3331.4	13.6
v2	icc	novec	notcm	1000	28000000	1	56	6650.8	11.2
v2	icc	vec	notcm	1000	500000	1	1	309.8	2.8
v2	icc	vec	notcm	1000	1000000	1	2	319.2	0.5
v2	icc	vec	notcm	1000	2000000	1	4	319.6	1.2
v2	icc	vec	notcm	1000	4000000	1	8	314.2	3.7
v2	icc	vec	notcm	1000	7000000	1	14	337.0	5.9
v2	icc	vec	notcm	1000	14000000	1	28	3789.2	8.2
v2	icc	vec	notcm	1000	28000000	1	56	6292.0	6.5
v3	g++	vec	notcm	1000	500000	0	1	329.7	1.6
v3	g++	vec	notcm	1000	500000	1	1	1792.7	0.1
v3	g++	vec	notcm	1000	1000000	0	2	441.3	0.9
v3	g++	vec	notcm	1000	1000000	1	2	1952.7	0.2
v3	g++	vec	notcm	1000	2000000	0	4	758.0	2.6
v3	g++	vec	notcm	1000	2000000	1	4	2274.7	0.6
v3	g++	vec	notcm	1000	4000000	0	8	1691.3	1.0
v3	g++	vec	notcm	1000	4000000	1	8	3231.7	2.0
v3	g++	vec	notcm	1000	7000000	0	14	4208.7	1.9
v3	g++	vec	notcm	1000	7000000	1	14	5646.0	1.8
v3	g++	vec	notcm	1000	14000000	0	28	14353.0	1.6
v3	g++	vec	notcm	1000	14000000	1	28	15272.3	3.9
v3	g++	vec	notcm	1000	28000000	0	56	52242.3	8.4
v3	g++	vec	notcm	1000	28000000	1	56	54422.0	4.5
v4-p100	nvcc	na	na	1000	500000	0	512X64	37.3	3.3
v4-p100	nvcc	na	na	1000	500000	1	512X64	43.3	3.9
v4-p100	nvcc	na	na	1000	1000000	0	512X64	59.3	3.5
v4-p100	nvcc	na	na	1000	1000000	1	512X64	72.0	3.0
v4-p100	nvcc	na	na	1000	2000000	0	512X64	105.3	1.2
v4-p100	nvcc	na	na	1000	2000000	1	512X64	126.3	3.6
v4-p100	nvcc	na	na	1000	4000000	0	512X64	191.0	0.9
v4-p100	nvcc	na	na	1000	4000000	1	512X64	231.3	0.8
v4-p100	nvcc	na	na	1000	7000000	0	512X64	323.0	0.7
v4-p100	nvcc	na	na	1000	7000000	1	512X64	392.0	0.4
v4-p100	nvcc	na	na	1000	14000000	0	512X64	636.7	1.0
v4-p100	nvcc	na	na	1000	14000000	1	512X64	755.0	0.1
v4-p100	nvcc	na	na	1000	28000000	0	512X64	1252.0	0.2
v4-p100	nvcc	na	na	1000	28000000	1	512X64	1507.0	0.4
